extracted_symptom,linked_symptom
temperature excursion,Product temperature excursion issue
Chest pain,Chest pain
the pain,Pain
congested,Cardiac failure congestive
MUSCULOSKELETAL STIFFNESS,Musculoskeletal stiffness
injection site swelling,Injection site swelling
the adverse event,Adverse event
vaccination site pain,Vaccination site pain
movement disorder,Movement disorder
fatigue,Fatigue
FATIGUE,Fatigue
pain,Pain
PAIN,Pain
musculoskeletal stiffness,Musculoskeletal stiffness
MOVEMENT DISORDER,Movement disorder
VACCINATION SITE SWELLING,Vaccination site swelling
stiffness in arm of injection,Injection
muscle pain (left arm),Pain
vaccination site swelling,Vaccination site swelling
muscle pain,Pain
VACCINATION SITE PAIN,Vaccination site pain
"Scoliosis""",Scoliosis
PRODUCT TEMPERATURE EXCURSION ISSUE,Product temperature excursion issue
Asthma,Asthma
initial infection,Infection
urinary tract infection,Urinary tract infection
hypoxic,Hypoxic-ischaemic encephalopathy
COVID,Asymptomatic COVID-19
dizziness,Dizziness
weakness,Injection site muscle weakness
VACCINATION FAILURE,Vaccination failure
vaccination failure,Vaccination failure
HTN,Muscle tightness
cough,Cough
ADVERSE EVENT,Adverse event
No adverse event,No adverse event
lesions,Wound
Swelling of ankles,Swelling
transverse myelitis,Myelitis transverse
Numbness pain,Pain
ankle pain,Pain
Numbness,Apathy
pain,Pain
tingling,Tic
spinal inflammation,Inflammation
Symptoms,Lower urinary tract symptoms
adverse reactions,Adverse reaction
a swelling,Swelling
Bell's palsy,Bell's palsy
diminished,Fall
PAIN IN EXTREMITY,Pain in extremity
pain in extremity,Pain in extremity
peripheral swelling,Peripheral swelling
PERIPHERAL SWELLING,Peripheral swelling
fever,Pyrexia
myalgias,Myalgia
Immediate tinnitus,Tinnitus
chills,Chills
swelling in her left neck and axillary areas,Swelling
Myalgias,Myalgia
swelling,Swelling
sinus congestion,Sinus congestion
Fever,Pyrexia
Cancer,Breast cancer female
heart arrhythmia,Arrhythmia
severely worsened hypertension,Hypertension
ADVERSE EVENT,Adverse event
MYOCARDITIS,Myocarditis
CHEST PAIN,Chest pain
DEHYDRATION,Dehydration
No adverse event,No adverse event
a rash on my left cheek,Rash
body chills,Chills
fatigue,Fatigue
headaches,Headache
diarrhea,Diarrhoea
vomiting,Vomiting
sore,Abdominal tenderness
No adverse event,No adverse event
shock,Shock
renal failure,Renal failure
respiratory failure,Respiratory failure
encephalopathy,Encephalopathy
COVID,Asymptomatic COVID-19
tingling,Tic
heat,Tendon sheath effusion
cellulitis,Cellulitis
any chest pain,Chest pain
myalgias,Myalgia
a cough,Cough
respiratory distress,Respiratory distress
Acute hypoxemic respiratory failure,Acute respiratory failure
HTN,Muscle tightness
his respiratory distress,Respiratory distress
CAD,Wheelchair user
fatigued,Fatigue
COVID-19 (HCC),COVID-19
lethargic,Tic
unresponsive,Unresponsive to stimuli
a superimposed RLL pneumonia,Pneumonia
allergies,Allergy test
tail bone pain,Bone pain
very bad joint pain,Pain
fever,Pyrexia
very bad headache,Headache
sleepiness,Somnolence
the events vomiting,Vomiting
both ankles pain,Pain
adverse event,Adverse event
vomiting,Vomiting
Vomiting,Vomiting
weakness,Injection site muscle weakness
Myocardial infarction,Myocardial infarction
STEMI (ST elevation myocardial infarction),Myocardial infarction
Acute ST elevation myocardial infarction,Acute myocardial infarction
arm pain,Pain
adverse events,Adverse event
weak,Injection site muscle weakness
flushing and tingling on scalp,Flushing
anxiety,Anxiety
ASTHENIA (Weakness),Asthenia
DIZZINESS,Dizziness
PARAESTHESIA,Paraesthesia
FATIGUE (Very tired,Fatigue
Dizziness,Dizziness
HEADACHE,Headache
Weakness,Injection site muscle weakness
Headache,Headache
FATIGUE,Fatigue
Adverse event,Adverse event
INSOMNIA,Insomnia
HYPOAESTHESIA,Hypoaesthesia
fever,Pyrexia
Acute respiratory distress syndrome,Acute respiratory distress syndrome
Rheumatoid arthritis,Rheumatoid arthritis
No adverse event,No adverse event
Swelling,Swelling
swelling in lymph nodes,Swelling
stabbing pain,Pain
gastric pain,Pain
abdominal pain,Abdominal pain
nausea,Nausea
distention,Abdominal distension
"PERIPHERAL SWELLING (swollen legs, arms, and ankle/swollen arm",Peripheral swelling
Atopic dermatitis,Dermatitis atopic
JOINT SWELLING (swollen ankles),Joint swelling
JOINT SWELLING (swollen ankles,Joint swelling
ECZEMA,Eczema
JOINT STIFFNESS (ankles,Joint stiffness
eczema,Eczema
Eczema,Eczema
pain,Pain
decreased swelling,Swelling
swelling in left leg,Swelling
pain in left leg,Pain
deep vein thrombosis in left leg,Deep vein thrombosis
No adverse event,No adverse event
URTICARIA,Urticaria
adverse events,Adverse event
urticaria,Urticaria
STROKE,Cerebellar stroke
Stroke,Cerebellar stroke
stroke,Cerebellar stroke
Celiac disease,Coeliac disease
a headache,Headache
nausea,Nausea
daily headaches,Headache
severe fatigue,Fatigue
No adverse event,No adverse event
Arrythmia,Arrhythmia
dehydration,Dehydration
stress reaction,Stress
symptoms,Lower urinary tract symptoms
Palpitations,Palpitations
arrhythmia episodes,Arrhythmia
LEUKOCYTOSIS,Leukocytosis
No adverse event,No adverse event
congestion,Ear congestion
symptoms,Lower urinary tract symptoms
sneezing,Sneezing
Seizure disorder,Seizure
No adverse event,No adverse event
ADVERSE EVENT,Adverse event
adverse event,Adverse event
acute hypoxic respiratory failure,Acute respiratory failure
morbid obesity,Obesity
dry cough,Cough
HTN,Muscle tightness
some chills,Chills
diaphoresis,Hyperhidrosis
the pain,Pain
COVID-19 Pneumonia,COVID-19 pneumonia
CAD,Wheelchair user
substernal chest pain,Chest pain
The pain,Pain
nueropathic pain in both feet,Pain
neuropathic pain,Pain
cough,Cough
VACCINATION SITE ERYTHEMA,Vaccination site erythema
redness around injection site,Injection
VACCINATION SITE INFLAMMATION,Vaccination site inflammation
redness,Inflammation
"hyperactivity""",Attention deficit hyperactivity disorder
Inflammation,Inflammation
FEELING ABNORMAL,Feeling abnormal
Pain at the injection site,Injection site pain
"Celiac disease""",Coeliac disease
vaccination site pain,Vaccination site pain
VACCINATION SITE PAIN,Vaccination site pain
abdominal pain,Abdominal pain
hypoxia,Hypoxia
lightheadedness,Vertigo
general malaise,Malaise
nausea,Nausea
vomiting,Vomiting
chest pain,Chest pain
cough,Cough
constipation,Constipation
congestion,Ear congestion
tachycardic,Tachycardia
weakness,Injection site muscle weakness
chest pain,Chest pain
associated fatigue,Fatigue
fever,Pyrexia
rhinorrhea,Rhinorrhoea
chills,Chills
decreased appetite,Decreased appetite
sneezing,Sneezing
dizziness,Dizziness
worsening covid-19 symptoms,COVID-19
headache,Headache
abdominal pain,Abdominal pain
dysuria,Dysuria
nausea,Nausea
syncope,Syncope
productive cough,Productive cough
Headache,Headache
Chills,Chills
edema,Oedema
orthopnea,Orthopnoea
dyspnea,Dyspnoea
sustained tachyarrhythmias syncope,Arrhythmia
elevated,Atelectasis
near syncope,Syncope
intolerance,Drug intolerance
chest pain,Chest pain
aches,Computerised tomogram spine
fatigue,Fatigue
FATIGUE,Fatigue
pain,Pain
adverse event,Adverse event
chills,Chills
the shot chills,Chills
SOMNOLENCE,Somnolence
somnolence,Somnolence
the adverse event,Adverse event
CHILLS,Chills
PAIN,Pain
fatigue,Fatigue
FATIGUE,Fatigue
PAIN IN EXTREMITY,Pain in extremity
pain in extremity,Pain in extremity
No adverse event,No adverse event
chills,Chills
headache,Headache
fever,Pyrexia
ADVERSE EVENT,Adverse event
adverse event,Adverse event
Pericardial effusion,Pericardial effusion
Extreme chest pain,Chest pain
fatigue,Fatigue
abdominal pain,Abdominal pain
non- productive cough,Productive cough
palpitation,Palpitations
neuromyelitis,Neuromyelitis optica spectrum disorder
nausea,Nausea
chills,Chills
fevers,Pyrexia
vomiting,Vomiting
COVID,Asymptomatic COVID-19
dizziness,Dizziness
chest pain,Chest pain
PARAESTHESIA,Paraesthesia
hypothyroidism,Hypothyroidism
muscle spasms,Muscle spasms
a shock,Shock
pulmonary embolism,Pulmonary embolism
hyperlipidemia,Hyperlipidaemia
pneumonia,Pneumonia
anxiety,Anxiety
uncomplicated diverticulitis,Diverticulitis
diverticulitis,Diverticulitis
sigmoid diverticulitis,Diverticulitis
depression,Depression
abdominal pain,Abdominal pain
hypertension,Hypertension
abscess,Abscess
hypoxic,Hypoxic-ischaemic encephalopathy
COVID pneumonia,COVID-19 pneumonia
Hypoxia,Hypoxia
fevers,Pyrexia
hyperlipidemia,Hyperlipidaemia
thrombocytopenia,Thrombocytopenia
No adverse event,No adverse event
No adverse event,No adverse event
anemia,Anaemia
aphasia,Aphasia
lymphadenopathy,Lymphadenopathy
liver disease,Granulomatous liver disease
Alodynia,Allodynia
liver encephalopathy,Encephalopathy
intractable headaches,Headache
parasites,Parasite stool test negative
rotavirus,Rotavirus test
death,Death
breakthrough COVID-19 disease,Breakthrough COVID-19
fever,Pyrexia
periorbital edema,Periorbital oedema
rash,Rash
back and rear end pain,Pain
hives,Urticaria
The renal failure,Renal failure
progressing renal failure,Renal failure
vomiting,Vomiting
unresponsive,Unresponsive to stimuli
pulmonary embolisms,Pulmonary embolism
swelling in right calf,Swelling
pain,Pain
extreme pain,Pain
No adverse event,No adverse event
No adverse event,No adverse event
lightheaded,Pupillary light reflex tests abnormal
severe nausea,Nausea
Diarrhea,Diarrhoea
ilness,Illness
loss of concsiousness,Loss of consciousness
dizziness,Dizziness
extreme fatigue,Fatigue
The same adverse events,Adverse event
dehydration,Dehydration
fatigue,Fatigue
e coli,Clostridium difficile colitis
SUSPECTED COVID-19 INFECTION,COVID-19
clinical Vaccination failure,Vaccination failure
Covid-19 (suspected covid-19 infection,COVID-19
suspected covid-19 infection,COVID-19
CLINICAL VACCINATION FAILURE,Vaccination failure
clinical vaccination failure,Vaccination failure
the suspected clinical vaccination failure,Vaccination failure
No adverse event,No adverse event
PRODUCT STORAGE ERROR,Product storage error
my ear rashes,Rash
severe anxiety dry mouth,Anxiety
dizziness brain fog,Dizziness
IgA Nephropathy),IgA nephropathy
a potential adverse event,Adverse event
IgA nephropathy,IgA nephropathy
IGA NEPHROPATHY,IgA nephropathy
IgA Nephropathy,IgA nephropathy
acute renal failure,Renal failure
superimposed bacterial pneumonia,Pneumonia
acute hypoxic respiratory failure,Acute respiratory failure
congestion,Ear congestion
cough,Cough
stress,Stress
the pain in the upper stomach,Pain
a very painful point,Pain
allergies,Allergy test
minimal chronic gastritis,Gastritis
the abdominal pain,Abdominal pain
the pain,Pain
scratchy bumps,Scratch
a headache,Headache
Very painful,Pain
pain,Pain
pain in my stomach,Pain
The pain,Pain
the stress,Stress
elevated,Atelectasis
dysphagia mechanically altered,Dysphagia
nausea,Nausea
dysphagia,Dysphagia
alcohol withdrawal,Alcohol withdrawal syndrome
chronic hypoxemic respiratory failure,Chronic respiratory failure
vomiting,Vomiting
covid inflammation,Inflammation
chest pain,Chest pain
No adverse event,No adverse event
No adverse event,No adverse event
migraine,Migraine
No adverse event,No adverse event
asthma,Asthma
"chronic bronchitis""",Bronchitis chronic
vaccination failure,Vaccination failure
"hypogammaglobulinemia""",Globulin
"lupus""",Lupus nephritis
Hashimoto's hypothyroidism,Hypothyroidism
congestion,Ear congestion
the cough,Cough
a cough,Cough
sneezing,Sneezing
the fatigue,Fatigue
her COVID-19 exposure,COVID-19
any cough,Cough
tongue swelling,Swelling
swelling in the tongue,Swelling
Dysphagia,Dysphagia
Symptoms,Lower urinary tract symptoms
No adverse event,No adverse event
headache,Headache
fever,Pyrexia
COVID infection,Infection
cough,Cough
No adverse event,No adverse event
fatigue,Fatigue
weight gain e (obvious menopause like symptoms,Menopause
COVID-19 symptoms,COVID-19
Allergy,Allergy test
No adverse event,No adverse event
coughing,Cough
dizziness,Dizziness
asthmatic cough,Asthma
depression MS,Depression
HTN,Muscle tightness
fatigue,Fatigue
deep or superficial vein thrombosis,Superficial vein thrombosis
COVID 19,COVID-19
tachycardia,Tachycardia
Symptoms,Lower urinary tract symptoms
Hypokalemia,Hypokalaemia
MS,Abnormal dreams
tremor,Tremor
Syncope,Syncope
pallor,Pallor
Petichiae on lower legs,Tic
"gout""",Gout
Rebound infection,Infection
vaccination failure,Vaccination failure
symptoms,Lower urinary tract symptoms
No adverse event,No adverse event
aching,Computerised tomogram spine
sharp shooting pain in the limbs,Pain
mild ataxia,Ataxia
headaches,Headache
The tinnitus,Tinnitus
vertigo,Vertigo
symptoms,Lower urinary tract symptoms
generalized pain,Pain
weakness,Injection site muscle weakness
abdominal pain,Abdominal pain
urgency,Defaecation urgency
ulcerative colitis,Colitis ulcerative
diarrhea,Diarrhoea
Crohn's disease,Crohn's disease
swollen,Swollen tongue
the pain,Pain
very fatigued,Fatigue
pain,Pain
tenderness,Tenderness
swelling,Swelling
fatigued,Fatigue
persistent inflammation,Inflammation
sneezing,Sneezing
the tinnitus,Tinnitus
tinnitus,Tinnitus
headaches,Headache
the migraines,Migraine
a severe migraine,Migraine
migraines,Migraine
the migraine,Migraine
the headaches,Headache
depression,Depression
depressed,Depressed level of consciousness
anxiety,Anxiety
Pulsatile Tinnitus,Tinnitus
"hypertension""",Hypertension
Asthma,Asthma
disease recurrence,Disease recurrence
DISEASE RECURRENCE,Disease recurrence
COVID 19 pneumonia,COVID-19 pneumonia
Pulmonary nodule,Nodule
Acute Respiratory Failure,Acute respiratory failure
Atrial Fibrillation,Atrial fibrillation
DM II in Obesity,Obesity
vomiting,Vomiting
tiredness,Fatigue
anemia,Anaemia
type 2 diabetes,Type 2 diabetes mellitus
paroxysmal atrial fibrillation,Atrial fibrillation
chronic renal failure stage 3,Renal failure
Cough,Cough
chronic respiratory failure,Chronic respiratory failure
recent weight gain,Weight
SARS,Exposure to SARS-CoV-2
non-small cell lung cancer,Small cell lung cancer
PE,Alopecia
aortic stenosis,Tic
worsening cough,Cough
orthopnea,Orthopnoea
weight loss,Weight
PE diabetes mellitus chronic kidney disease,Chronic kidney disease
nausea,Nausea
diarrhea,Diarrhoea
cough,Cough
PERICARDITIS,Pericarditis
fatigue,Fatigue
inflammation,Inflammation
pericarditis,Pericarditis
symptoms,Lower urinary tract symptoms
chest pain,Chest pain
Antiphospholipid Antibody Syndrome,Antiphospholipid syndrome
pseudomonas,Pseudomonas test positive
hypoxic,Hypoxic-ischaemic encephalopathy
COVID pneumonia,COVID-19 pneumonia
AKI,Pollakiuria
opioid overdose,Overdose
staph,Staphylococcal bacteraemia
fever,Pyrexia
pain,Pain
chills,Chills
the teeth discomfort,Discomfort
weak,Injection site muscle weakness
No adverse event,No adverse event
full body rash,Rash
the rash,Rash
"full body rash""",Rash
RASH,Rash
body rashes,Rash
body rash,Rash
a full body rash,Rash
rash,Rash
shaking,Palpitations
fatigue,Fatigue
FATIGUE,Fatigue
tired,Fatigue
feverish,Febrile convulsion
The chills,Chills
PAIN IN EXTREMITY,Pain in extremity
vomiting,Vomiting
pain in extremity,Pain in extremity
sore,Abdominal tenderness
the chills,Chills
"Pregnancy""",Pregnancy
No adverse event,No adverse event
acute colitis,Colitis
nausea,Nausea
diarrhea,Diarrhoea
Abdominal pain,Abdominal pain
ascites,Ascites
DM,Diabetes mellitus
colitis,Colitis
Fever,Pyrexia
Cold Blisters,Blister
a stress factor,Stress
Extreme raising heart rate,Heart rate
Rash reaction,Rash
my cold blisters,Blister
Fatigue,Fatigue
Hives,Urticaria
Chills,Chills
Nasopharyngitis,Nasopharyngitis
NASOPHARYNGITIS,Nasopharyngitis
NASOPHARYNGITIS (Nasopharyngitis,Nasopharyngitis
nausea,Nausea
high heart rate,Heart rate
PM upper epigastric  pain,Pain
vomiting,Vomiting
lower heart rate abdominal tenderness,Abdominal tenderness
anaphylactic shock,Anaphylactic shock
fast heart rate,Heart rate
No adverse event,No adverse event
No adverse event,No adverse event
headache,Headache
an intense headache,Headache
fever,Pyrexia
stronger chills,Chills
swollen,Swollen tongue
body pains,Pain
The infection,Infection
chills,Chills
The headache,Headache
red,Extra dose administered
my nausea,Nausea
No adverse event,No adverse event
the back pain,Back pain
prostate cancer,Prostate cancer
severe lower back pain,Back pain
chills,Chills
fatigue,Fatigue
suicidal ideation,Suicidal ideation
asymptomatic,Asymptomatic COVID-19
Asymptomatic,Asymptomatic COVID-19
No adverse event,No adverse event
anxiety,Anxiety
blurred vision,Vision blurred
Unresponsive,Unresponsive to stimuli
Sweating,Hyperhidrosis
No adverse event,No adverse event
A MINI SEIZURE,Seizure
ACUTE RESPIRATORY FAILURE,Acute respiratory failure
PALE,Motion sickness
THE CHILLS,Chills
HYPROXIA,Hypoxia
LOW,Abdominal pain lower
No adverse event,No adverse event
headache,Headache
fatigue,Fatigue
Cough,Cough
Symptoms,Lower urinary tract symptoms
cough,Cough
latest strain of COVID-19,COVID-19
swollen,Swollen tongue
congestion,Ear congestion
the cough,Cough
a cough,Cough
symptoms,Lower urinary tract symptoms
my cough,Cough
irritated,Febrile convulsion
red,Extra dose administered
blurred vision,Vision blurred
symptoms,Lower urinary tract symptoms
No adverse event,No adverse event
a short seizure,Seizure
No adverse event,No adverse event
No adverse event,No adverse event
signs,Vital signs measurement
symptoms,Lower urinary tract symptoms
respiratory distress,Respiratory distress
hallucinations,Hallucination
vomit,Cyclic vomiting syndrome
Acute Renal Failure,Renal failure
acute cardiac failure,Cardiac failure
stroke,Cerebellar stroke
